full_name,age,birthday_GMT,league,position,Current Club,nationality,goals_overall,assists_overall,penalty_goals,yellow_cards_overall,red_cards_overall
Jonathan Walters,39,1983/09/20,Premier League,Forward,Burnley,Republic of Ireland,0,0,0,0,0
Jonjo Shelvey,30,1992/02/27,Premier League,Midfielder,Newcastle United,England,1,1,0,1,0
Jonjoe Kenny,25,1997/03/15,Premier League,Defender,Everton,England,0,1,0,1,0
Jonny,28,1994/03/03,Premier League,Defender,Wolverhampton Wanderers,Spain,1,1,0,6,0
Jonny Evans,34,1988/01/03,Premier League,Defender,Leicester City,Northern Ireland,1,0,0,2,0
Jordan Ayew,31,1991/09/11,Premier League,Forward,Crystal Palace,Ghana,1,2,0,3,0
Jordan Henderson,32,1990/06/17,Premier League,Midfielder,Liverpool,England,1,3,0,3,1
Jordan Pickford,28,1994/03/07,Premier League,Goalkeeper,Everton,England,0,0,0,1,0
Jordon Ibe,26,1995/12/08,Premier League,Midfielder,AFC Bournemouth,England,1,1,0,1,0
Jorginho,30,1991/12/20,Premier League,Midfielder,Chelsea,Italy,2,0,1,8,0
JosÃ© Diogo Dalot Teixeira,23,1999/03/18,Premier League,Defender,Manchester United,Portugal,0,2,0,3,0
JosÃ© Holebas,38,1984/06/27,Premier League,Defender,Watford,Greece,3,6,0,13,1
Jose Izquierdo,30,1992/07/07,Premier League,Forward,Brighton & Hove Albion,Colombia,0,1,0,1,0
JosÃ© Luis SanmartÃ­n Mato,32,1990/03/27,Premier League,Forward,Newcastle United,Spain,2,0,0,1,0
Joseph Willock,23,1999/08/20,Premier League,Midfielder,Arsenal,England,0,0,0,0,0
Josh Benson,22,1999/12/05,Premier League,Midfielder,Burnley,England,0,0,0,0,0
Josh Knight,25,1997/09/07,Premier League,Defender,Leicester City,England,0,0,0,0,0
Josh Murphy,27,1995/02/24,Premier League,Forward,Cardiff City,England,3,2,0,2,0
Joshua King,30,1992/01/15,Premier League,Forward,AFC Bournemouth,Norway,12,3,5,3,0
Joshua Sims,25,1997/03/28,Premier League,Midfielder,Southampton,England,0,1,0,0,0
Juan Marcos Foyth,24,1998/01/12,Premier League,Defender,Tottenham Hotspur,Argentina,1,0,0,4,1
Juan Mata,34,1988/04/28,Premier League,Midfielder,Manchester United,Spain,3,2,0,3,0
JuliÃ¡n Speroni,43,1979/05/18,Premier League,Goalkeeper,Crystal Palace,Argentina,0,0,0,0,0
Juninho Bacuna,25,1997/08/07,Premier League,Midfielder,Huddersfield Town,Netherlands,1,0,0,4,0
Junior Stanislas,32,1989/11/26,Premier League,Midfielder,AFC Bournemouth,England,2,3,1,1,0
JÃ¼rgen Locadia,28,1993/11/07,Premier League,Forward,Brighton & Hove Albion,Netherlands,2,0,0,1,0
Kadeem Harris,29,1993/06/08,Premier League,Midfielder,Cardiff City,England,1,0,0,1,0
Karl Darlow,32,1990/10/08,Premier League,Goalkeeper,Newcastle United,England,0,0,0,0,0
Karlan Ahearne-Grant,24,1997/12/19,Premier League,Forward,Huddersfield Town,England,4,0,0,0,0
Kasper Schmeichel,35,1986/11/05,Premier League,Goalkeeper,Leicester City,Denmark,0,0,0,3,0
Kayne Ramsey,22,2000/10/10,Premier League,Midfielder,Southampton,England,0,0,0,0,0
Kazaiah Sterling,23,1998/11/09,Premier League,Forward,Tottenham Hotspur,England,0,0,0,0,0
Kelechi Iheanacho,26,1996/10/03,Premier League,Forward,Leicester City,Nigeria,1,3,0,2,0
Kelland Watts,23,1999/11/03,Premier League,Midfielder,Newcastle United,England,0,0,0,0,0
Ken Sema,29,1993/09/30,Premier League,Midfielder,Watford,Sweden,1,2,0,1,0
Kenneth Dahrup ZohorÃ¨,28,1994/01/31,Premier League,Forward,Cardiff City,Denmark,1,1,0,1,0
Kepa Arrizabalaga,28,1994/10/03,Premier League,Goalkeeper,Chelsea,Spain,0,0,0,2,0
Kevin De Bruyne,31,1991/06/28,Premier League,Midfielder,Manchester City,Belgium,2,2,0,2,0
Kevin Long,32,1990/08/18,Premier League,Defender,Burnley,Republic of Ireland,0,1,0,0,0
Kevin McDonald,33,1988/11/04,Premier League,Midfielder,Fulham,Scotland,0,0,0,6,1
Kieran Dowell,25,1997/10/10,Premier League,Midfielder,Everton,England,0,0,0,0,0
Kieran Trippier,32,1990/09/19,Premier League,Defender,Tottenham Hotspur,England,1,3,0,2,0
Konstantinos Mavropanos,24,1997/12/11,Premier League,Defender,Arsenal,Greece,0,0,0,1,0
Kortney Hause,27,1995/07/16,Premier League,Defender,Wolverhampton Wanderers,England,0,0,0,0,0
Kurt Zouma,28,1994/10/27,Premier League,Defender,Everton,France,2,2,0,5,1
Kyle Taylor,23,1999/08/28,Premier League,Midfielder,AFC Bournemouth,England,0,0,0,0,0
Kyle Walker,32,1990/05/28,Premier League,Defender,Manchester City,England,1,1,0,3,0
Kyle Walker-Peters,25,1997/04/13,Premier League,Defender,Tottenham Hotspur,England,0,3,0,1,0
Laurent Depoitre,33,1988/12/07,Premier League,Forward,Huddersfield Town,Belgium,0,1,0,1,0
Laurent Koscielny,37,1985/09/10,Premier League,Defender,Arsenal,France,3,0,0,1,0
Lazar MarkoviÄ‡,28,1994/03/02,Premier League,Midfielder,Fulham,Serbia,0,0,0,0,0
Leander Dendoncker,27,1995/04/15,Premier League,Midfielder,Wolverhampton Wanderers,Belgium,2,0,0,1,0
Leandro Bacuna,31,1991/08/21,Premier League,Midfielder,Cardiff City,CuraÃ§ao,0,0,0,2,0
Lee Grant,39,1983/01/27,Premier League,Goalkeeper,Manchester United,England,0,0,0,0,0
